inspection_id,bridge_id,inspection_date,inspection_type,condition_class,BCI_score,deck_score,superstructure_score,substructure_score,inspector_team,recommended_action
INSP-BR0076-2024,BR0076,2024-03-12,Frequent inspection,2,79.6,70.8,69.9,77.8,Team B,Routine maintenance
INSP-BR0076-2026,BR0076,2026-07-22,Regular inspection,2,87.6,91.9,88.8,94.7,Team B,Routine maintenance
INSP-BR0077-2021,BR0077,2021-11-22,Regular inspection,2,89.0,89.3,94.1,99.2,Team C,Routine maintenance
INSP-BR0077-2023,BR0077,2023-10-01,Regular inspection,3,74.9,66.3,74.1,81.6,Team C,Repair planning
INSP-BR0077-2026,BR0077,2026-11-10,Regular inspection,3,70.9,68.5,72.3,71.8,External consultant,Repair planning
INSP-BR0078-2021,BR0078,2021-05-15,Regular inspection,2,82.6,70.9,84.9,93.4,Team B,Routine maintenance
INSP-BR0078-2022,BR0078,2022-07-19,Regular inspection,2,78.7,72.0,85.3,86.3,Team A,Routine maintenance
INSP-BR0079-2022,BR0079,2022-10-10,Regular inspection,1,93.4,88.9,94.9,93.2,Team A,Routine maintenance
INSP-BR0079-2025,BR0079,2025-07-11,Regular inspection,1,97.1,100,100,89.0,External consultant,Routine maintenance
INSP-BR0079-2026,BR0079,2026-07-13,Frequent inspection,1,95.1,88.5,93.6,94.9,Team B,Routine maintenance
INSP-BR0080-2022,BR0080,2022-11-02,Regular inspection,1,98.8,91.7,98.5,90.6,External consultant,Routine maintenance
INSP-BR0080-2025,BR0080,2025-11-03,Regular inspection,1,96.1,90.5,94.3,94.5,Team B,Routine maintenance
INSP-BR0080-2026,BR0080,2026-08-15,Regular inspection,1,93.0,94.2,94.0,93.9,Team A,Routine maintenance
INSP-BR0081-2021,BR0081,2021-04-07,Regular inspection,2,82.3,86.2,89.3,79.9,External consultant,Routine maintenance
INSP-BR0081-2024,BR0081,2024-10-05,Regular inspection,2,82.9,83.7,73.7,89.6,External consultant,Routine maintenance
INSP-BR0081-2025,BR0081,2025-03-19,Regular inspection,2,87.8,91.2,81.7,99.7,Team B,Routine maintenance
INSP-BR0081-2026,BR0081,2026-10-09,Special inspection,2,83.8,90.1,80.4,84.1,External consultant,Routine maintenance
INSP-BR0082-2021,BR0082,2021-06-05,Frequent inspection,2,83.0,82.3,90.1,87.1,Team A,Routine maintenance
INSP-BR0082-2023,BR0082,2023-07-14,Regular inspection,2,77.8,77.9,82.2,69.2,Team A,Routine maintenance
INSP-BR0083-2021,BR0083,2021-06-05,Regular inspection,1,98.9,100,100,100,Team C,Routine maintenance
INSP-BR0083-2024,BR0083,2024-05-24,Regular inspection,1,91.1,88.3,93.5,100,Team B,Routine maintenance
INSP-BR0083-2025,BR0083,2025-08-03,Regular inspection,1,94.1,82.9,84.9,95.6,Team A,Routine maintenance
INSP-BR0083-2026,BR0083,2026-10-11,Regular inspection,1,97.9,97.1,99.0,93.8,Team A,Routine maintenance
INSP-BR0084-2021,BR0084,2021-05-09,Regular inspection,2,77.5,70.8,84.7,74.6,External consultant,Routine maintenance
INSP-BR0084-2025,BR0084,2025-08-24,Regular inspection,2,88.5,82.9,96.2,88.8,Team C,Routine maintenance
INSP-BR0085-2022,BR0085,2022-06-13,Special inspection,1,97.7,90.4,91.5,95.2,Team B,Routine maintenance
INSP-BR0085-2023,BR0085,2023-08-10,Regular inspection,1,96.2,92.8,87.4,91.6,External consultant,Routine maintenance
INSP-BR0085-2024,BR0085,2024-08-01,Special inspection,2,88.4,79.5,84.4,94.1,Team C,Routine maintenance
INSP-BR0086-2022,BR0086,2022-08-01,Regular inspection,2,85.6,78.9,86.8,89.9,Team A,Routine maintenance
INSP-BR0086-2026,BR0086,2026-06-12,Regular inspection,3,68.3,58.8,72.4,72.2,External consultant,Repair planning
INSP-BR0087-2022,BR0087,2022-11-16,Regular inspection,2,86.7,80.5,88.6,95.0,External consultant,Routine maintenance
INSP-BR0087-2026,BR0087,2026-03-15,Frequent inspection,2,84.3,83.4,85.5,80.6,Team C,Routine maintenance
INSP-BR0088-2023,BR0088,2023-09-05,Regular inspection,3,72.2,60.7,62.9,72.8,External consultant,Repair planning
INSP-BR0088-2026,BR0088,2026-07-12,Regular inspection,3,72.1,67.0,76.8,66.6,Team C,Repair planning
INSP-BR0089-2021,BR0089,2021-06-19,Frequent inspection,2,84.9,77.1,91.5,77.4,Team B,Routine maintenance
INSP-BR0089-2023,BR0089,2023-09-12,Special inspection,3,67.4,60.9,73.6,66.3,External consultant,Repair planning
INSP-BR0090-2022,BR0090,2022-06-17,Frequent inspection,2,82.5,86.4,78.0,83.6,Team C,Routine maintenance
INSP-BR0090-2024,BR0090,2024-07-12,Special inspection,1,92.4,89.6,100.0,91.7,Team A,Routine maintenance
INSP-BR0090-2025,BR0090,2025-06-07,Regular inspection,2,78.4,83.4,82.0,71.1,Team C,Routine maintenance
INSP-BR0090-2026,BR0090,2026-06-25,Regular inspection,2,89.6,78.5,97.4,82.6,Team A,Routine maintenance
INSP-BR0091-2022,BR0091,2022-04-18,Regular inspection,2,77.7,71.9,84.4,83.9,Team C,Routine maintenance
INSP-BR0091-2023,BR0091,2023-03-11,Regular inspection,2,84.5,80.6,92.6,81.7,Team B,Routine maintenance
INSP-BR0092-2022,BR0092,2022-05-01,Regular inspection,1,98.5,96.2,100,100,Team C,Routine maintenance
INSP-BR0092-2024,BR0092,2024-07-03,Regular inspection,1,92.7,95.1,91.5,99.4,Team A,Routine maintenance
INSP-BR0092-2025,BR0092,2025-11-19,Regular inspection,1,94.8,88.1,97.5,89.2,Team B,Routine maintenance
INSP-BR0092-2026,BR0092,2026-10-24,Frequent inspection,1,96.2,100,90.0,96.0,Team C,Routine maintenance
INSP-BR0093-2022,BR0093,2022-10-18,Regular inspection,2,84.5,74.1,94.1,80.8,Team C,Routine maintenance
INSP-BR0093-2023,BR0093,2023-06-08,Special inspection,2,80.0,86.7,72.6,82.7,Team B,Routine maintenance
INSP-BR0093-2025,BR0093,2025-03-03,Frequent inspection,3,61.6,54.9,65.4,64.1,Team B,Repair planning
INSP-BR0093-2026,BR0093,2026-06-21,Regular inspection,3,62.0,59.9,71.3,64.7,Team A,Repair planning
INSP-BR0094-2025,BR0094,2025-07-06,Regular inspection,3,64.6,66.2,74.5,76.2,Team B,Repair planning
INSP-BR0094-2026,BR0094,2026-10-24,Frequent inspection,3,63.9,66.7,59.4,72.5,External consultant,Repair planning
INSP-BR0095-2021,BR0095,2021-09-01,Regular inspection,3,68.3,67.7,59.3,65.0,External consultant,Repair planning
INSP-BR0095-2024,BR0095,2024-03-07,Regular inspection,4,42.1,43.6,45.1,35.3,Team A,Major repair / load assessment
INSP-BR0096-2021,BR0096,2021-06-10,Regular inspection,2,84.3,88.4,75.6,86.8,Team C,Routine maintenance
INSP-BR0096-2022,BR0096,2022-04-22,Regular inspection,3,63.3,71.1,58.0,65.6,Team A,Repair planning
INSP-BR0097-2021,BR0097,2021-08-12,Regular inspection,2,76.4,76.0,67.8,85.4,Team C,Routine maintenance
INSP-BR0097-2023,BR0097,2023-05-15,Frequent inspection,1,98.4,89.3,89.4,95.4,Team C,Routine maintenance
INSP-BR0097-2025,BR0097,2025-09-08,Regular inspection,2,88.3,76.7,81.0,84.3,Team B,Routine maintenance
INSP-BR0098-2022,BR0098,2022-07-25,Regular inspection,3,74.2,78.1,78.5,71.2,Team C,Repair planning
INSP-BR0098-2024,BR0098,2024-11-04,Regular inspection,3,67.6,70.7,75.6,71.1,Team C,Repair planning
INSP-BR0098-2025,BR0098,2025-05-09,Regular inspection,3,69.4,60.5,67.1,72.3,Team C,Repair planning
INSP-BR0098-2026,BR0098,2026-09-21,Regular inspection,3,64.9,58.3,66.4,60.5,Team B,Repair planning
INSP-BR0099-2021,BR0099,2021-05-03,Frequent inspection,3,67.2,57.4,68.0,72.8,Team B,Repair planning
INSP-BR0099-2022,BR0099,2022-03-19,Regular inspection,3,70.5,66.2,65.7,66.8,Team C,Repair planning
INSP-BR0099-2024,BR0099,2024-11-16,Regular inspection,2,85.6,84.8,93.5,86.3,Team A,Routine maintenance
INSP-BR0099-2026,BR0099,2026-09-05,Regular inspection,3,73.6,81.1,83.3,67.0,Team B,Repair planning
INSP-BR0100-2021,BR0100,2021-06-17,Regular inspection,3,74.4,72.6,68.7,66.2,Team B,Repair planning
INSP-BR0100-2023,BR0100,2023-08-23,Regular inspection,3,61.3,55.2,54.8,66.9,Team B,Repair planning
INSP-BR0100-2026,BR0100,2026-07-23,Regular inspection,3,64.9,55.0,72.1,65.6,Team A,Repair planning
INSP-BR0101-2021,BR0101,2021-05-06,Frequent inspection,2,87.9,93.3,83.5,79.3,Team C,Routine maintenance
INSP-BR0101-2022,BR0101,2022-06-14,Special inspection,2,79.6,77.9,73.7,73.7,External consultant,Routine maintenance
INSP-BR0101-2025,BR0101,2025-08-03,Regular inspection,3,65.3,61.4,69.8,68.9,Team C,Repair planning
INSP-BR0102-2021,BR0102,2021-07-23,Regular inspection,2,86.5,79.0,92.0,80.9,Team A,Routine maintenance
INSP-BR0102-2022,BR0102,2022-10-11,Regular inspection,2,82.8,73.7,83.6,90.1,Team C,Routine maintenance
INSP-BR0102-2024,BR0102,2024-03-13,Regular inspection,1,93.7,93.2,87.3,85.6,Team A,Routine maintenance
INSP-BR0102-2025,BR0102,2025-05-12,Regular inspection,2,82.0,84.6,86.3,81.8,Team A,Routine maintenance
INSP-BR0103-2023,BR0103,2023-07-02,Regular inspection,3,71.3,59.4,72.3,63.4,Team B,Repair planning
INSP-BR0103-2024,BR0103,2024-06-21,Regular inspection,4,49.3,39.1,52.8,51.3,Team B,Major repair / load assessment
INSP-BR0103-2025,BR0103,2025-07-24,Regular inspection,4,53.7,45.5,44.3,61.3,Team C,Major repair / load assessment
INSP-BR0104-2024,BR0104,2024-10-09,Regular inspection,1,93.2,82.5,99.5,86.6,Team C,Routine maintenance
INSP-BR0104-2025,BR0104,2025-10-11,Regular inspection,2,88.1,78.6,95.4,96.1,Team B,Routine maintenance
INSP-BR0105-2021,BR0105,2021-09-08,Frequent inspection,1,92.1,91.2,84.9,83.9,External consultant,Routine maintenance
INSP-BR0105-2023,BR0105,2023-03-03,Regular inspection,2,88.1,79.9,78.2,84.9,External consultant,Routine maintenance
INSP-BR0105-2026,BR0105,2026-04-24,Frequent inspection,2,77.2,76.8,78.4,77.6,Team C,Routine maintenance
INSP-BR0106-2021,BR0106,2021-07-06,Regular inspection,3,73.0,63.3,78.3,84.9,External consultant,Repair planning
INSP-BR0106-2023,BR0106,2023-04-09,Regular inspection,4,45.2,46.5,40.5,38.9,Team C,Major repair / load assessment
INSP-BR0106-2024,BR0106,2024-03-22,Regular inspection,3,64.8,58.9,68.0,62.6,External consultant,Repair planning
INSP-BR0106-2025,BR0106,2025-06-17,Regular inspection,4,57.5,55.3,65.1,54.3,Team A,Major repair / load assessment
INSP-BR0107-2021,BR0107,2021-05-01,Regular inspection,2,76.3,72.0,75.7,74.9,Team A,Routine maintenance
INSP-BR0107-2022,BR0107,2022-09-23,Regular inspection,2,85.0,86.7,91.4,82.6,Team C,Routine maintenance
INSP-BR0107-2023,BR0107,2023-07-09,Regular inspection,2,82.4,77.1,73.6,75.1,Team C,Routine maintenance
INSP-BR0107-2026,BR0107,2026-09-16,Special inspection,2,77.0,65.8,78.6,75.3,Team C,Routine maintenance
INSP-BR0108-2022,BR0108,2022-11-09,Regular inspection,3,63.5,63.8,54.4,62.6,External consultant,Repair planning
INSP-BR0108-2024,BR0108,2024-08-03,Regular inspection,3,68.2,75.6,72.4,64.7,External consultant,Repair planning
INSP-BR0108-2025,BR0108,2025-03-03,Regular inspection,4,47.1,53.2,44.3,56.1,Team A,Major repair / load assessment
INSP-BR0109-2021,BR0109,2021-08-08,Regular inspection,1,91.6,85.9,89.3,98.5,Team B,Routine maintenance
INSP-BR0109-2026,BR0109,2026-04-02,Frequent inspection,1,94.5,96.7,100,95.2,External consultant,Routine maintenance
INSP-BR0110-2021,BR0110,2021-05-07,Frequent inspection,1,94.0,91.7,90.3,88.2,Team C,Routine maintenance
INSP-BR0110-2022,BR0110,2022-07-10,Regular inspection,1,97.9,94.6,91.1,94.0,External consultant,Routine maintenance
INSP-BR0110-2023,BR0110,2023-10-24,Regular inspection,1,94.0,97.7,91.9,100,Team A,Routine maintenance
INSP-BR0110-2025,BR0110,2025-07-11,Regular inspection,1,97.6,87.4,100,97.9,External consultant,Routine maintenance
INSP-BR0111-2023,BR0111,2023-06-06,Regular inspection,4,53.5,51.1,48.7,50.6,Team C,Major repair / load assessment
INSP-BR0111-2024,BR0111,2024-07-18,Regular inspection,4,54.5,45.3,61.6,48.5,External consultant,Major repair / load assessment
INSP-BR0111-2026,BR0111,2026-07-19,Regular inspection,4,58.6,50.8,57.2,55.2,Team B,Major repair / load assessment
INSP-BR0112-2021,BR0112,2021-10-12,Regular inspection,4,55.4,62.7,63.4,54.9,External consultant,Major repair / load assessment
INSP-BR0112-2023,BR0112,2023-04-18,Regular inspection,4,51.6,46.8,58.6,44.3,Team A,Major repair / load assessment
INSP-BR0112-2025,BR0112,2025-06-13,Regular inspection,3,73.3,69.1,80.8,64.7,Team A,Repair planning
INSP-BR0112-2026,BR0112,2026-10-24,Regular inspection,4,52.4,57.4,42.7,63.8,External consultant,Major repair / load assessment
INSP-BR0113-2024,BR0113,2024-03-08,Regular inspection,3,71.5,70.3,69.7,65.9,External consultant,Repair planning
INSP-BR0113-2025,BR0113,2025-08-01,Regular inspection,3,74.9,73.5,65.6,76.7,External consultant,Repair planning
INSP-BR0113-2026,BR0113,2026-10-22,Regular inspection,3,62.5,59.4,68.7,67.8,Team A,Repair planning
INSP-BR0114-2022,BR0114,2022-04-01,Regular inspection,2,88.3,95.9,81.1,96.5,Team B,Routine maintenance
INSP-BR0114-2024,BR0114,2024-08-03,Regular inspection,2,79.6,71.1,73.7,87.8,External consultant,Routine maintenance
INSP-BR0115-2021,BR0115,2021-11-17,Regular inspection,1,96.1,94.3,93.2,91.1,Team A,Routine maintenance
INSP-BR0115-2023,BR0115,2023-10-09,Regular inspection,2,85.9,86.8,93.8,84.6,External consultant,Routine maintenance
INSP-BR0115-2025,BR0115,2025-07-17,Regular inspection,1,96.1,88.2,91.4,100,External consultant,Routine maintenance
INSP-BR0115-2026,BR0115,2026-04-25,Frequent inspection,2,79.6,69.1,88.4,84.0,Team C,Routine maintenance
INSP-BR0116-2023,BR0116,2023-05-12,Regular inspection,2,81.3,73.3,84.5,77.7,External consultant,Routine maintenance
INSP-BR0116-2024,BR0116,2024-05-14,Regular inspection,2,88.7,93.0,83.7,92.4,Team B,Routine maintenance
INSP-BR0116-2025,BR0116,2025-03-04,Frequent inspection,3,74.7,73.8,77.6,71.7,External consultant,Repair planning
INSP-BR0116-2026,BR0116,2026-06-25,Regular inspection,3,72.5,60.8,76.9,69.0,Team B,Repair planning
INSP-BR0117-2021,BR0117,2021-03-04,Regular inspection,4,50.9,48.4,50.8,59.6,External consultant,Major repair / load assessment
INSP-BR0117-2024,BR0117,2024-07-18,Regular inspection,4,45.7,46.3,46.0,45.3,Team A,Major repair / load assessment
INSP-BR0117-2025,BR0117,2025-06-25,Frequent inspection,4,51.5,45.4,52.8,49.8,Team A,Major repair / load assessment
INSP-BR0117-2026,BR0117,2026-11-12,Special inspection,4,53.1,52.5,51.7,60.4,Team B,Major repair / load assessment
INSP-BR0118-2025,BR0118,2025-03-07,Regular inspection,2,80.8,72.6,86.6,72.5,External consultant,Routine maintenance
INSP-BR0118-2026,BR0118,2026-04-25,Regular inspection,3,71.5,62.5,67.9,80.6,Team B,Repair planning
INSP-BR0119-2022,BR0119,2022-03-09,Regular inspection,1,97.5,86.4,99.3,100,Team A,Routine maintenance
INSP-BR0119-2023,BR0119,2023-07-02,Regular inspection,1,92.8,95.4,96.9,97.7,Team C,Routine maintenance
INSP-BR0119-2025,BR0119,2025-07-12,Regular inspection,1,94.4,83.2,89.6,95.1,Team A,Routine maintenance
INSP-BR0119-2026,BR0119,2026-08-14,Regular inspection,1,95.9,94.5,93.6,98.2,Team A,Routine maintenance
INSP-BR0120-2021,BR0120,2021-04-19,Frequent inspection,3,66.2,60.8,68.2,63.2,External consultant,Repair planning
INSP-BR0120-2023,BR0120,2023-03-19,Special inspection,3,73.6,69.8,77.1,79.4,Team C,Repair planning
INSP-BR0120-2024,BR0120,2024-09-01,Regular inspection,3,62.1,63.3,66.0,55.9,Team B,Repair planning
INSP-BR0120-2026,BR0120,2026-09-13,Regular inspection,3,66.9,62.2,67.8,59.8,Team C,Repair planning
INSP-BR0121-2021,BR0121,2021-09-04,Frequent inspection,3,63.6,52.6,65.2,55.2,Team C,Repair planning
INSP-BR0121-2022,BR0121,2022-03-17,Regular inspection,2,81.8,79.3,89.4,83.4,Team B,Routine maintenance
INSP-BR0121-2025,BR0121,2025-11-24,Frequent inspection,3,63.0,62.2,67.3,59.2,Team C,Repair planning
INSP-BR0121-2026,BR0121,2026-03-17,Frequent inspection,3,70.3,73.0,65.7,78.7,Team B,Repair planning
INSP-BR0122-2021,BR0122,2021-07-07,Frequent inspection,2,87.6,90.8,92.5,79.9,External consultant,Routine maintenance
INSP-BR0122-2023,BR0122,2023-09-19,Regular inspection,2,84.2,91.4,83.2,82.3,Team A,Routine maintenance
INSP-BR0122-2026,BR0122,2026-03-20,Regular inspection,2,79.1,82.7,70.4,78.7,External consultant,Routine maintenance
INSP-BR0123-2022,BR0123,2022-11-14,Regular inspection,1,98.9,100,93.3,90.8,External consultant,Routine maintenance
INSP-BR0123-2023,BR0123,2023-06-24,Regular inspection,2,81.6,77.3,73.0,89.9,Team A,Routine maintenance
INSP-BR0124-2022,BR0124,2022-11-15,Regular inspection,4,51.9,45.4,53.1,43.7,Team A,Major repair / load assessment
INSP-BR0124-2024,BR0124,2024-03-11,Frequent inspection,4,55.2,55.4,50.5,48.3,Team A,Major repair / load assessment
INSP-BR0125-2021,BR0125,2021-06-10,Regular inspection,1,95.9,100,100,93.1,Team C,Routine maintenance
INSP-BR0125-2024,BR0125,2024-10-15,Regular inspection,1,93.4,89.6,83.9,100,Team B,Routine maintenance
INSP-BR0125-2025,BR0125,2025-08-10,Regular inspection,1,93.4,89.8,86.4,99.0,Team A,Routine maintenance
INSP-BR0126-2023,BR0126,2023-07-20,Regular inspection,3,71.6,61.7,69.1,65.8,External consultant,Repair planning
INSP-BR0126-2024,BR0126,2024-10-20,Regular inspection,3,71.8,60.4,63.0,83.1,Team A,Repair planning
INSP-BR0126-2025,BR0126,2025-10-04,Regular inspection,3,73.5,62.7,78.4,69.6,Team A,Repair planning
INSP-BR0126-2026,BR0126,2026-10-07,Regular inspection,3,62.5,67.2,64.4,61.1,Team B,Repair planning
INSP-BR0127-2022,BR0127,2022-04-16,Regular inspection,2,84.4,80.4,88.3,81.3,External consultant,Routine maintenance
INSP-BR0127-2023,BR0127,2023-10-21,Regular inspection,2,81.6,80.3,77.8,86.4,External consultant,Routine maintenance
INSP-BR0127-2025,BR0127,2025-11-06,Regular inspection,1,95.6,100,100,100,Team C,Routine maintenance
INSP-BR0127-2026,BR0127,2026-07-14,Regular inspection,2,76.0,66.7,71.4,70.4,Team A,Routine maintenance
INSP-BR0128-2021,BR0128,2021-09-19,Regular inspection,2,87.9,79.4,97.8,91.5,Team B,Routine maintenance
INSP-BR0128-2023,BR0128,2023-05-11,Regular inspection,3,64.7,68.2,66.3,65.7,Team C,Repair planning
INSP-BR0129-2023,BR0129,2023-10-16,Regular inspection,3,63.3,57.3,56.4,71.8,External consultant,Repair planning
INSP-BR0129-2026,BR0129,2026-08-08,Regular inspection,3,63.3,61.0,70.2,74.4,Team B,Repair planning
INSP-BR0130-2022,BR0130,2022-10-08,Regular inspection,3,72.7,79.6,70.8,82.1,Team B,Repair planning
INSP-BR0130-2026,BR0130,2026-11-07,Regular inspection,3,62.8,56.8,64.8,55.3,Team A,Repair planning
INSP-BR0131-2025,BR0131,2025-11-17,Regular inspection,3,64.6,57.4,63.6,61.7,Team B,Repair planning
INSP-BR0131-2026,BR0131,2026-03-11,Regular inspection,4,49.6,55.7,46.5,49.9,Team B,Major repair / load assessment
INSP-BR0132-2024,BR0132,2024-10-14,Regular inspection,2,85.2,81.4,77.4,76.4,Team B,Routine maintenance
INSP-BR0132-2026,BR0132,2026-06-10,Regular inspection,2,78.0,80.3,84.0,80.7,Team A,Routine maintenance
INSP-BR0133-2021,BR0133,2021-04-01,Regular inspection,3,67.1,63.5,65.8,66.9,Team A,Repair planning
INSP-BR0133-2022,BR0133,2022-08-11,Frequent inspection,3,62.8,69.9,70.1,64.3,Team A,Repair planning
INSP-BR0134-2021,BR0134,2021-07-11,Regular inspection,2,83.5,78.1,93.1,93.6,Team C,Routine maintenance
INSP-BR0134-2024,BR0134,2024-09-06,Special inspection,2,85.6,77.6,76.4,77.9,Team B,Routine maintenance
INSP-BR0134-2025,BR0134,2025-06-17,Regular inspection,2,82.5,85.4,80.3,75.0,External consultant,Routine maintenance
INSP-BR0134-2026,BR0134,2026-06-19,Frequent inspection,2,83.3,82.1,85.8,82.5,Team C,Routine maintenance
INSP-BR0135-2022,BR0135,2022-04-11,Regular inspection,2,86.4,94.2,91.0,90.7,Team A,Routine maintenance
INSP-BR0135-2023,BR0135,2023-05-09,Regular inspection,2,87.6,88.3,83.1,86.6,Team C,Routine maintenance
INSP-BR0136-2022,BR0136,2022-04-15,Regular inspection,2,78.3,78.5,82.8,82.5,Team B,Routine maintenance
INSP-BR0136-2024,BR0136,2024-09-22,Frequent inspection,1,91.6,81.9,88.3,95.6,Team B,Routine maintenance
INSP-BR0136-2025,BR0136,2025-05-11,Special inspection,1,93.6,88.5,98.3,100,Team C,Routine maintenance
INSP-BR0136-2026,BR0136,2026-09-15,Frequent inspection,2,84.6,92.1,79.0,79.8,External consultant,Routine maintenance
INSP-BR0137-2021,BR0137,2021-06-20,Regular inspection,3,66.0,57.5,64.2,77.8,Team B,Repair planning
INSP-BR0137-2023,BR0137,2023-08-11,Frequent inspection,3,71.0,60.5,71.6,82.2,External consultant,Repair planning
INSP-BR0138-2021,BR0138,2021-03-07,Regular inspection,1,94.4,96.3,88.3,98.4,Team B,Routine maintenance
INSP-BR0138-2022,BR0138,2022-05-25,Special inspection,1,92.0,90.9,100,89.4,Team C,Routine maintenance
INSP-BR0138-2023,BR0138,2023-04-04,Regular inspection,1,92.6,100,97.3,99.4,Team A,Routine maintenance
INSP-BR0138-2025,BR0138,2025-03-13,Regular inspection,1,96.4,99.7,100,100,External consultant,Routine maintenance
INSP-BR0139-2021,BR0139,2021-10-15,Regular inspection,1,96.5,90.6,100,100,Team A,Routine maintenance
INSP-BR0139-2022,BR0139,2022-03-13,Regular inspection,2,80.6,74.4,89.4,84.9,Team C,Routine maintenance
INSP-BR0139-2023,BR0139,2023-09-12,Regular inspection,2,87.1,83.8,84.8,97.1,Team C,Routine maintenance
INSP-BR0139-2025,BR0139,2025-10-24,Regular inspection,2,83.7,83.8,90.9,90.0,Team B,Routine maintenance
INSP-BR0140-2021,BR0140,2021-06-01,Regular inspection,2,80.7,81.4,71.8,72.4,External consultant,Routine maintenance
INSP-BR0140-2022,BR0140,2022-10-18,Regular inspection,2,89.8,88.8,80.0,84.8,Team A,Routine maintenance
INSP-BR0140-2023,BR0140,2023-10-03,Frequent inspection,3,66.3,66.5,62.5,63.6,External consultant,Repair planning
INSP-BR0140-2026,BR0140,2026-11-20,Frequent inspection,3,73.6,67.3,72.2,80.4,Team A,Repair planning
INSP-BR0141-2022,BR0141,2022-04-13,Regular inspection,2,88.7,88.8,95.5,88.3,Team B,Routine maintenance
INSP-BR0141-2023,BR0141,2023-07-07,Regular inspection,2,78.3,80.7,83.9,80.2,External consultant,Routine maintenance
INSP-BR0141-2026,BR0141,2026-08-21,Regular inspection,2,86.8,86.1,94.1,83.7,Team B,Routine maintenance
INSP-BR0142-2022,BR0142,2022-09-13,Regular inspection,3,66.6,71.1,72.8,70.0,Team B,Repair planning
INSP-BR0142-2025,BR0142,2025-10-16,Regular inspection,3,68.3,74.8,73.4,60.1,Team B,Repair planning
INSP-BR0143-2022,BR0143,2022-03-07,Regular inspection,2,76.2,79.5,85.5,76.0,Team B,Routine maintenance
INSP-BR0143-2025,BR0143,2025-06-20,Regular inspection,2,83.1,76.8,92.9,81.0,Team A,Routine maintenance
INSP-BR0144-2021,BR0144,2021-07-05,Regular inspection,2,81.6,78.6,76.3,89.4,Team B,Routine maintenance
INSP-BR0144-2025,BR0144,2025-04-03,Regular inspection,2,79.4,84.7,88.6,80.7,Team B,Routine maintenance
INSP-BR0144-2026,BR0144,2026-05-25,Regular inspection,2,80.8,84.7,79.5,77.2,Team C,Routine maintenance
INSP-BR0145-2022,BR0145,2022-04-21,Regular inspection,3,74.7,64.7,67.2,73.8,Team A,Repair planning
INSP-BR0145-2023,BR0145,2023-06-04,Regular inspection,3,68.9,60.0,66.8,74.6,Team B,Repair planning
INSP-BR0145-2025,BR0145,2025-11-10,Regular inspection,3,69.9,65.0,74.5,74.0,Team B,Repair planning
INSP-BR0146-2022,BR0146,2022-11-23,Regular inspection,2,79.6,71.6,74.3,89.8,External consultant,Routine maintenance
INSP-BR0146-2023,BR0146,2023-09-14,Regular inspection,3,72.0,71.0,65.9,83.7,External consultant,Repair planning
INSP-BR0146-2024,BR0146,2024-11-23,Special inspection,3,67.7,74.6,67.3,72.1,Team A,Repair planning
INSP-BR0146-2026,BR0146,2026-08-18,Regular inspection,3,65.2,68.7,63.0,58.5,External consultant,Repair planning
INSP-BR0147-2021,BR0147,2021-05-09,Regular inspection,1,93.0,86.9,88.4,100,Team A,Routine maintenance
INSP-BR0147-2022,BR0147,2022-10-18,Regular inspection,2,85.0,75.1,77.9,95.7,External consultant,Routine maintenance
INSP-BR0147-2023,BR0147,2023-08-23,Regular inspection,2,83.2,74.6,75.2,76.6,Team A,Routine maintenance
INSP-BR0147-2024,BR0147,2024-04-17,Regular inspection,2,86.5,78.5,83.1,80.4,Team C,Routine maintenance
INSP-BR0148-2021,BR0148,2021-05-11,Regular inspection,2,84.9,87.8,91.8,85.0,External consultant,Routine maintenance
INSP-BR0148-2022,BR0148,2022-09-03,Frequent inspection,3,74.9,79.4,69.7,84.5,Team A,Repair planning
INSP-BR0148-2023,BR0148,2023-08-10,Frequent inspection,3,67.3,73.4,58.3,68.0,External consultant,Repair planning
INSP-BR0148-2025,BR0148,2025-03-04,Regular inspection,3,71.1,62.0,68.5,66.9,Team B,Repair planning
INSP-BR0149-2021,BR0149,2021-03-23,Regular inspection,2,80.4,72.7,84.4,84.0,External consultant,Routine maintenance
INSP-BR0149-2023,BR0149,2023-05-15,Regular inspection,2,80.1,76.3,74.6,85.3,Team A,Routine maintenance
INSP-BR0149-2026,BR0149,2026-08-20,Regular inspection,2,82.4,75.3,76.5,82.5,Team B,Routine maintenance
INSP-BR0150-2024,BR0150,2024-06-08,Regular inspection,3,61.1,63.3,57.2,66.7,Team A,Repair planning
INSP-BR0150-2025,BR0150,2025-07-05,Regular inspection,3,66.8,61.4,66.3,66.2,Team B,Repair planning
INSP-BR0151-2025,BR0151,2025-03-07,Frequent inspection,2,77.7,71.7,80.9,81.3,Team B,Routine maintenance
INSP-BR0151-2026,BR0151,2026-03-11,Regular inspection,2,80.1,82.0,75.5,90.6,Team C,Routine maintenance
INSP-BR0152-2021,BR0152,2021-10-23,Frequent inspection,5,35.6,35.7,40.6,35.1,Team C,Traffic restriction / emergency action
INSP-BR0152-2022,BR0152,2022-04-10,Regular inspection,5,17.5,20,20,20,Team A,Traffic restriction / emergency action
INSP-BR0152-2024,BR0152,2024-07-15,Regular inspection,5,26.9,23.6,20,28.9,Team B,Traffic restriction / emergency action
