defect_id,bridge_id,inspection_id,defect_type,component,severity,description,quantity,unit,estimated_repair_cost_cny,requires_special_inspection
DEF-BR0073-2,BR0073,INSP-BR0073-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,14.0,location,154464.0,False
DEF-BR0073-3,BR0073,INSP-BR0073-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",52.6,m2,82120.0,False
DEF-BR0073-4,BR0073,INSP-BR0073-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,48.0,point,132620.0,False
DEF-BR0074-1,BR0074,INSP-BR0074-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,59.8,point,65602.0,False
DEF-BR0074-2,BR0074,INSP-BR0074-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,2.3,location,181612.0,False
DEF-BR0075-1,BR0075,INSP-BR0075-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",11.6,m2,130718.0,False
DEF-BR0075-2,BR0075,INSP-BR0075-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,46.2,m2,15172.0,False
DEF-BR0076-1,BR0076,INSP-BR0076-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,40.7,point,173650.0,False
DEF-BR0077-1,BR0077,INSP-BR0077-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,1.4,m,44575.0,False
DEF-BR0077-2,BR0077,INSP-BR0077-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",20.6,m2,348619.0,False
DEF-BR0077-3,BR0077,INSP-BR0077-2026,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",18.4,point,387708.0,False
DEF-BR0077-4,BR0077,INSP-BR0077-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,55.4,m,115002.0,False
DEF-BR0078-1,BR0078,INSP-BR0078-2022,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,36.6,m2,183211.0,False
DEF-BR0079-1,BR0079,INSP-BR0079-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",39.2,point,167687.0,False
DEF-BR0079-2,BR0079,INSP-BR0079-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,42.6,point,177662.0,False
DEF-BR0079-3,BR0079,INSP-BR0079-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,57.9,m,161641.0,False
DEF-BR0080-1,BR0080,INSP-BR0080-2026,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,41.9,m2,264089.0,False
DEF-BR0080-2,BR0080,INSP-BR0080-2026,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,21.2,m2,171443.0,False
DEF-BR0082-1,BR0082,INSP-BR0082-2023,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,10.1,m2,78063.0,False
DEF-BR0082-2,BR0082,INSP-BR0082-2023,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,53.3,m,151818.0,False
DEF-BR0082-3,BR0082,INSP-BR0082-2023,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,35.1,m2,183493.0,False
DEF-BR0082-4,BR0082,INSP-BR0082-2023,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,29.7,m,175408.0,False
DEF-BR0083-1,BR0083,INSP-BR0083-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,5.0,location,121553.0,False
DEF-BR0083-2,BR0083,INSP-BR0083-2026,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,1.8,m,11087.0,False
DEF-BR0084-1,BR0084,INSP-BR0084-2025,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,56.3,m,271468.0,False
DEF-BR0085-1,BR0085,INSP-BR0085-2024,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,32.7,location,356757.0,False
DEF-BR0085-2,BR0085,INSP-BR0085-2024,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,8.8,m2,391665.0,False
DEF-BR0086-1,BR0086,INSP-BR0086-2026,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,7.2,m2,34207.0,False
DEF-BR0086-2,BR0086,INSP-BR0086-2026,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,20.2,point,212209.0,False
DEF-BR0087-1,BR0087,INSP-BR0087-2026,Rebar corrosion,Superstructure,Severe,Exposed or corroded reinforcement,44.4,point,123105.0,True
DEF-BR0087-2,BR0087,INSP-BR0087-2026,Railing damage,Ancillary,Severe,Damaged barrier or guardrail,58.9,location,373823.0,True
DEF-BR0087-3,BR0087,INSP-BR0087-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,17.5,point,99319.0,False
DEF-BR0087-4,BR0087,INSP-BR0087-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,0.9,m,99628.0,False
DEF-BR0088-1,BR0088,INSP-BR0088-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",28.3,point,85805.0,False
DEF-BR0088-2,BR0088,INSP-BR0088-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",5.5,m2,222388.0,False
DEF-BR0088-3,BR0088,INSP-BR0088-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",5.6,m,71415.0,False
DEF-BR0088-4,BR0088,INSP-BR0088-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",14.1,point,154112.0,False
DEF-BR0088-5,BR0088,INSP-BR0088-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",24.9,point,153658.0,False
DEF-BR0089-1,BR0089,INSP-BR0089-2023,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,39.0,m,88846.0,False
DEF-BR0089-2,BR0089,INSP-BR0089-2023,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",30.8,point,117363.0,False
DEF-BR0090-1,BR0090,INSP-BR0090-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,18.9,m,84407.0,False
DEF-BR0090-2,BR0090,INSP-BR0090-2026,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,12.4,m,199442.0,False
DEF-BR0091-1,BR0091,INSP-BR0091-2023,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,13.4,m,145010.0,False
DEF-BR0091-2,BR0091,INSP-BR0091-2023,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,45.1,location,160311.0,False
DEF-BR0091-3,BR0091,INSP-BR0091-2023,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",4.4,point,197684.0,False
DEF-BR0091-4,BR0091,INSP-BR0091-2023,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",42.5,location,332649.0,False
DEF-BR0092-1,BR0092,INSP-BR0092-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",54.1,point,154479.0,False
DEF-BR0092-2,BR0092,INSP-BR0092-2026,Deck pavement rutting,Deck system,Severe,"Pavement rutting, pothole, delamination",4.3,m2,554582.0,True
DEF-BR0093-1,BR0093,INSP-BR0093-2026,Rebar corrosion,Superstructure,Severe,Exposed or corroded reinforcement,52.9,location,370877.0,True
DEF-BR0093-2,BR0093,INSP-BR0093-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",35.5,m2,194556.0,False
DEF-BR0093-3,BR0093,INSP-BR0093-2026,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,11.1,point,186533.0,False
DEF-BR0094-1,BR0094,INSP-BR0094-2026,Railing damage,Ancillary,Critical,Damaged barrier or guardrail,43.5,location,138316.0,True
DEF-BR0094-2,BR0094,INSP-BR0094-2026,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,49.4,m,382068.0,False
DEF-BR0094-3,BR0094,INSP-BR0094-2026,Expansion joint damage,Deck system,Severe,"Broken seal, leakage or joint blockage",54.4,m,42916.0,True
DEF-BR0094-4,BR0094,INSP-BR0094-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,21.1,point,91602.0,False
DEF-BR0095-1,BR0095,INSP-BR0095-2024,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,37.2,m,81806.0,False
DEF-BR0095-2,BR0095,INSP-BR0095-2024,Spalling,Superstructure,Severe,Concrete cover spalling / exposed aggregate,52.8,point,47960.0,True
DEF-BR0095-3,BR0095,INSP-BR0095-2024,Expansion joint damage,Deck system,Severe,"Broken seal, leakage or joint blockage",36.1,m2,137565.0,True
DEF-BR0096-1,BR0096,INSP-BR0096-2022,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",23.4,m,53530.0,False
DEF-BR0096-2,BR0096,INSP-BR0096-2022,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",21.8,m2,172475.0,False
DEF-BR0097-1,BR0097,INSP-BR0097-2025,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,51.6,m2,37967.0,False
DEF-BR0098-1,BR0098,INSP-BR0098-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,59.4,point,374959.0,False
DEF-BR0098-2,BR0098,INSP-BR0098-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,32.0,point,13730.0,False
DEF-BR0098-3,BR0098,INSP-BR0098-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",49.2,m,190514.0,False
DEF-BR0099-1,BR0099,INSP-BR0099-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",5.2,point,184344.0,False
DEF-BR0099-2,BR0099,INSP-BR0099-2026,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,56.9,point,269990.0,False
DEF-BR0100-1,BR0100,INSP-BR0100-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,43.9,point,125356.0,False
DEF-BR0100-2,BR0100,INSP-BR0100-2026,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,58.0,m2,46235.0,False
DEF-BR0100-3,BR0100,INSP-BR0100-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",30.4,m,180917.0,False
DEF-BR0101-1,BR0101,INSP-BR0101-2025,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,42.7,m2,55666.0,False
DEF-BR0101-2,BR0101,INSP-BR0101-2025,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,22.6,location,133579.0,False
DEF-BR0101-3,BR0101,INSP-BR0101-2025,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",24.5,location,49202.0,False
DEF-BR0102-1,BR0102,INSP-BR0102-2025,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,27.9,m,112733.0,False
DEF-BR0102-2,BR0102,INSP-BR0102-2025,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,54.6,location,157515.0,False
DEF-BR0103-1,BR0103,INSP-BR0103-2025,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,16.0,location,30733.0,False
DEF-BR0103-2,BR0103,INSP-BR0103-2025,Crack,Superstructure,Severe,Longitudinal/transverse cracking in girder or slab,54.7,m2,546138.0,True
DEF-BR0103-3,BR0103,INSP-BR0103-2025,Pier crack,Substructure,Severe,Vertical/inclined cracking at pier or cap beam,4.3,m2,171393.0,True
DEF-BR0103-4,BR0103,INSP-BR0103-2025,Bearing damage,Bearing,Severe,"Aging rubber bearing, displacement or shear deformation",53.5,m,431094.0,True
DEF-BR0103-5,BR0103,INSP-BR0103-2025,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",9.8,m,15594.0,False
DEF-BR0104-1,BR0104,INSP-BR0104-2025,Abutment settlement,Substructure,Severe,Approach settlement or differential movement,29.2,point,668870.0,True
DEF-BR0104-2,BR0104,INSP-BR0104-2025,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,41.9,m2,55197.0,False
DEF-BR0104-3,BR0104,INSP-BR0104-2025,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,33.3,m,154144.0,False
DEF-BR0104-4,BR0104,INSP-BR0104-2025,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,52.9,point,115694.0,False
DEF-BR0104-5,BR0104,INSP-BR0104-2025,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,1.8,m,52848.0,False
DEF-BR0105-1,BR0105,INSP-BR0105-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,9.7,m,43620.0,False
DEF-BR0105-2,BR0105,INSP-BR0105-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,44.8,point,119020.0,False
DEF-BR0105-3,BR0105,INSP-BR0105-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",29.8,point,236713.0,False
DEF-BR0106-1,BR0106,INSP-BR0106-2025,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",37.8,m,181712.0,False
DEF-BR0106-2,BR0106,INSP-BR0106-2025,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,18.3,point,174809.0,False
DEF-BR0106-3,BR0106,INSP-BR0106-2025,Pier crack,Substructure,Severe,Vertical/inclined cracking at pier or cap beam,22.2,point,578026.0,True
DEF-BR0106-4,BR0106,INSP-BR0106-2025,Abutment settlement,Substructure,Severe,Approach settlement or differential movement,42.3,location,138110.0,True
DEF-BR0107-1,BR0107,INSP-BR0107-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",51.0,m2,94254.0,False
DEF-BR0107-2,BR0107,INSP-BR0107-2026,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",11.9,location,157275.0,False
DEF-BR0107-3,BR0107,INSP-BR0107-2026,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,44.0,m,44435.0,False
DEF-BR0107-4,BR0107,INSP-BR0107-2026,Deck pavement rutting,Deck system,Severe,"Pavement rutting, pothole, delamination",46.6,m2,83679.0,True
DEF-BR0108-1,BR0108,INSP-BR0108-2025,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,33.9,location,115917.0,False
DEF-BR0108-2,BR0108,INSP-BR0108-2025,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,29.8,location,62754.0,False
DEF-BR0108-3,BR0108,INSP-BR0108-2025,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,18.0,location,220723.0,False
DEF-BR0108-4,BR0108,INSP-BR0108-2025,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,6.5,location,197308.0,False
DEF-BR0110-1,BR0110,INSP-BR0110-2025,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,16.6,m,30207.0,False
DEF-BR0110-2,BR0110,INSP-BR0110-2025,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,35.5,point,220277.0,False
DEF-BR0111-1,BR0111,INSP-BR0111-2026,Bearing damage,Bearing,Severe,"Aging rubber bearing, displacement or shear deformation",31.6,point,636735.0,True
DEF-BR0111-2,BR0111,INSP-BR0111-2026,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,52.5,m2,365275.0,False
DEF-BR0111-3,BR0111,INSP-BR0111-2026,Deck pavement rutting,Deck system,Critical,"Pavement rutting, pothole, delamination",30.3,m,143750.0,True
DEF-BR0112-1,BR0112,INSP-BR0112-2026,Spalling,Superstructure,Severe,Concrete cover spalling / exposed aggregate,2.9,point,169608.0,True
DEF-BR0112-2,BR0112,INSP-BR0112-2026,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,56.3,m2,355405.0,False
DEF-BR0112-3,BR0112,INSP-BR0112-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,14.9,m,393031.0,False
DEF-BR0113-1,BR0113,INSP-BR0113-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,57.5,point,184189.0,False
DEF-BR0113-2,BR0113,INSP-BR0113-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,12.5,point,61032.0,False
DEF-BR0113-3,BR0113,INSP-BR0113-2026,Abutment settlement,Substructure,Severe,Approach settlement or differential movement,46.5,point,44822.0,True
DEF-BR0114-1,BR0114,INSP-BR0114-2024,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,49.6,m2,371793.0,False
DEF-BR0114-2,BR0114,INSP-BR0114-2024,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",10.4,point,165154.0,False
DEF-BR0114-3,BR0114,INSP-BR0114-2024,Scour / erosion,Foundation,Severe,Riverbed scour or slope erosion,43.2,point,274780.0,True
DEF-BR0115-1,BR0115,INSP-BR0115-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,55.8,m,40942.0,False
DEF-BR0116-1,BR0116,INSP-BR0116-2026,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,43.8,point,335349.0,False
DEF-BR0116-2,BR0116,INSP-BR0116-2026,Rebar corrosion,Superstructure,Severe,Exposed or corroded reinforcement,24.8,location,706922.0,True
DEF-BR0116-3,BR0116,INSP-BR0116-2026,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",4.9,location,154381.0,False
DEF-BR0116-4,BR0116,INSP-BR0116-2026,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,50.2,location,380380.0,False
DEF-BR0116-5,BR0116,INSP-BR0116-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,49.6,m,61769.0,False
DEF-BR0116-6,BR0116,INSP-BR0116-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,39.3,point,167088.0,False
DEF-BR0117-1,BR0117,INSP-BR0117-2026,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,24.1,m2,126182.0,False
DEF-BR0117-2,BR0117,INSP-BR0117-2026,Expansion joint damage,Deck system,Severe,"Broken seal, leakage or joint blockage",49.3,m,116897.0,True
DEF-BR0117-3,BR0117,INSP-BR0117-2026,Drainage blockage,Deck system,Severe,"Blocked scupper, water ponding",40.8,m,707870.0,True
DEF-BR0118-1,BR0118,INSP-BR0118-2026,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,40.1,m2,42216.0,False
DEF-BR0119-1,BR0119,INSP-BR0119-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",56.5,location,52372.0,False
DEF-BR0120-1,BR0120,INSP-BR0120-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",5.3,m2,299897.0,False
DEF-BR0121-1,BR0121,INSP-BR0121-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,16.4,m2,136189.0,False
DEF-BR0121-2,BR0121,INSP-BR0121-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,53.7,location,191475.0,False
DEF-BR0122-1,BR0122,INSP-BR0122-2026,Water leakage / efflorescence,Superstructure,Severe,Seepage marks and efflorescence,23.4,m2,184353.0,True
DEF-BR0122-2,BR0122,INSP-BR0122-2026,Railing damage,Ancillary,Moderate,Damaged barrier or guardrail,33.2,location,75117.0,False
DEF-BR0122-3,BR0122,INSP-BR0122-2026,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,23.7,location,116968.0,False
DEF-BR0122-4,BR0122,INSP-BR0122-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,54.4,point,72588.0,False
DEF-BR0123-1,BR0123,INSP-BR0123-2023,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",37.6,m,128721.0,False
DEF-BR0124-1,BR0124,INSP-BR0124-2024,Deck pavement rutting,Deck system,Critical,"Pavement rutting, pothole, delamination",39.3,m,104280.0,True
DEF-BR0125-1,BR0125,INSP-BR0125-2025,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,51.3,m2,30528.0,False
DEF-BR0125-2,BR0125,INSP-BR0125-2025,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",34.5,location,21983.0,False
DEF-BR0126-1,BR0126,INSP-BR0126-2026,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",13.3,point,141244.0,False
DEF-BR0126-2,BR0126,INSP-BR0126-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,30.5,point,27706.0,False
DEF-BR0127-1,BR0127,INSP-BR0127-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",47.3,m2,162959.0,False
DEF-BR0127-2,BR0127,INSP-BR0127-2026,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,6.0,point,144245.0,False
DEF-BR0127-3,BR0127,INSP-BR0127-2026,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,1.0,m,68236.0,False
DEF-BR0128-1,BR0128,INSP-BR0128-2023,Deck pavement rutting,Deck system,Moderate,"Pavement rutting, pothole, delamination",28.4,m2,38941.0,False
DEF-BR0129-1,BR0129,INSP-BR0129-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,47.2,location,45316.0,False
DEF-BR0129-2,BR0129,INSP-BR0129-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,27.4,point,167886.0,False
DEF-BR0129-3,BR0129,INSP-BR0129-2026,Pier crack,Substructure,Minor,Vertical/inclined cracking at pier or cap beam,43.0,m,159477.0,False
DEF-BR0130-1,BR0130,INSP-BR0130-2026,Rebar corrosion,Superstructure,Moderate,Exposed or corroded reinforcement,36.0,m,264985.0,False
DEF-BR0131-1,BR0131,INSP-BR0131-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",30.5,location,57446.0,False
DEF-BR0131-2,BR0131,INSP-BR0131-2026,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,25.5,m2,244366.0,False
DEF-BR0131-3,BR0131,INSP-BR0131-2026,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,59.2,m2,158829.0,False
DEF-BR0131-4,BR0131,INSP-BR0131-2026,Crack,Superstructure,Minor,Longitudinal/transverse cracking in girder or slab,38.1,point,142047.0,False
DEF-BR0131-5,BR0131,INSP-BR0131-2026,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,11.2,m2,74228.0,False
DEF-BR0132-1,BR0132,INSP-BR0132-2026,Deck pavement rutting,Deck system,Moderate,"Pavement rutting, pothole, delamination",8.7,point,280697.0,False
DEF-BR0132-2,BR0132,INSP-BR0132-2026,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",24.9,m2,184226.0,False
DEF-BR0132-3,BR0132,INSP-BR0132-2026,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,49.0,point,99953.0,False
DEF-BR0132-4,BR0132,INSP-BR0132-2026,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",49.5,location,162447.0,False
DEF-BR0133-1,BR0133,INSP-BR0133-2022,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,3.1,point,116895.0,False
DEF-BR0133-2,BR0133,INSP-BR0133-2022,Deck pavement rutting,Deck system,Moderate,"Pavement rutting, pothole, delamination",43.7,point,93195.0,False
DEF-BR0133-3,BR0133,INSP-BR0133-2022,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,29.3,point,12123.0,False
DEF-BR0134-1,BR0134,INSP-BR0134-2026,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,41.7,m2,92482.0,False
DEF-BR0134-2,BR0134,INSP-BR0134-2026,Bearing damage,Bearing,Minor,"Aging rubber bearing, displacement or shear deformation",40.2,point,137898.0,False
DEF-BR0134-3,BR0134,INSP-BR0134-2026,Deck pavement rutting,Deck system,Minor,"Pavement rutting, pothole, delamination",47.4,m,98473.0,False
DEF-BR0135-1,BR0135,INSP-BR0135-2023,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,31.4,m2,161525.0,False
DEF-BR0135-2,BR0135,INSP-BR0135-2023,Water leakage / efflorescence,Superstructure,Severe,Seepage marks and efflorescence,52.8,m2,545348.0,True
DEF-BR0135-3,BR0135,INSP-BR0135-2023,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,46.5,point,334851.0,False
DEF-BR0135-4,BR0135,INSP-BR0135-2023,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,9.4,m2,73121.0,False
DEF-BR0135-5,BR0135,INSP-BR0135-2023,Drainage blockage,Deck system,Severe,"Blocked scupper, water ponding",55.0,point,145183.0,True
DEF-BR0136-1,BR0136,INSP-BR0136-2026,Pier crack,Substructure,Moderate,Vertical/inclined cracking at pier or cap beam,5.4,m2,112402.0,False
DEF-BR0136-2,BR0136,INSP-BR0136-2026,Drainage blockage,Deck system,Moderate,"Blocked scupper, water ponding",14.9,m2,278344.0,False
DEF-BR0137-1,BR0137,INSP-BR0137-2023,Expansion joint damage,Deck system,Moderate,"Broken seal, leakage or joint blockage",30.9,m2,176373.0,False
DEF-BR0137-2,BR0137,INSP-BR0137-2023,Spalling,Superstructure,Minor,Concrete cover spalling / exposed aggregate,5.1,m,28754.0,False
DEF-BR0137-3,BR0137,INSP-BR0137-2023,Scour / erosion,Foundation,Minor,Riverbed scour or slope erosion,10.5,location,70523.0,False
DEF-BR0137-4,BR0137,INSP-BR0137-2023,Abutment settlement,Substructure,Moderate,Approach settlement or differential movement,7.2,location,323448.0,False
DEF-BR0138-1,BR0138,INSP-BR0138-2025,Pier crack,Substructure,Severe,Vertical/inclined cracking at pier or cap beam,53.2,point,609054.0,True
DEF-BR0138-2,BR0138,INSP-BR0138-2025,Expansion joint damage,Deck system,Minor,"Broken seal, leakage or joint blockage",51.0,location,172344.0,False
DEF-BR0138-3,BR0138,INSP-BR0138-2025,Water leakage / efflorescence,Superstructure,Moderate,Seepage marks and efflorescence,23.2,m2,88684.0,False
DEF-BR0138-4,BR0138,INSP-BR0138-2025,Spalling,Superstructure,Moderate,Concrete cover spalling / exposed aggregate,57.0,m2,24458.0,False
DEF-BR0140-1,BR0140,INSP-BR0140-2026,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,16.9,location,318667.0,False
DEF-BR0140-2,BR0140,INSP-BR0140-2026,Railing damage,Ancillary,Minor,Damaged barrier or guardrail,43.7,m2,169989.0,False
DEF-BR0142-1,BR0142,INSP-BR0142-2025,Scour / erosion,Foundation,Moderate,Riverbed scour or slope erosion,28.1,point,53002.0,False
DEF-BR0142-2,BR0142,INSP-BR0142-2025,Water leakage / efflorescence,Superstructure,Minor,Seepage marks and efflorescence,46.3,m,195745.0,False
DEF-BR0142-3,BR0142,INSP-BR0142-2025,Rebar corrosion,Superstructure,Minor,Exposed or corroded reinforcement,10.3,m2,130736.0,False
DEF-BR0142-4,BR0142,INSP-BR0142-2025,Drainage blockage,Deck system,Minor,"Blocked scupper, water ponding",26.7,point,136669.0,False
DEF-BR0142-5,BR0142,INSP-BR0142-2025,Bearing damage,Bearing,Moderate,"Aging rubber bearing, displacement or shear deformation",2.8,location,27330.0,False
DEF-BR0143-1,BR0143,INSP-BR0143-2025,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,49.4,m2,172094.0,False
DEF-BR0143-2,BR0143,INSP-BR0143-2025,Crack,Superstructure,Moderate,Longitudinal/transverse cracking in girder or slab,36.4,point,286887.0,False
DEF-BR0143-3,BR0143,INSP-BR0143-2025,Abutment settlement,Substructure,Minor,Approach settlement or differential movement,8.9,m,40311.0,False
